Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.34226880278256056,0.9996602624070214,-0.6095926513663553,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3256076738435265,0.9998034640734967,-0.609981526693169,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.3010805334829736,1.614852671051727,-0.6218540545370757,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.14085532886421973,-1.3184272628899505,0.20586642937758004,3,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.15269253688890166,-1.9962215224931585,0.3992459074293272,3,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.16886729520828764,-1.128406490582485,-0.045082348653288126,3,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.39209158510200104,1.2300369800270223,-0.46067434747815,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.1316295691041635,-2.2274660958233308,0.4828516905518706,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.15113380438584828,-1.996326253608899,0.3992282712933436,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.13307327821358614,-1.9672848241934897,0.39477624505398407,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.27436616284807036,1.5005663446506265,0.1101575379383243,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.16021305018240237,-1.8431504437186115,0.3587359956150274,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.31308724220129924,0.8096144098037604,-0.35866559694744155,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.26830931803880403,0.6088110070077399,-0.06800332900708893,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.17001362197619618,-1.1283968820005998,-0.045058681259035206,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.2388811943286714,1.7893975215660958,-0.6424858327084749,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2200441088765287,-0.8980098824416334,0.10386255564441761,3,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.16963002003882233,-1.128416256344335,-0.045064037041883984,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.34192837261749764,0.9996588398037871,-0.6095999070479201,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3345077825892216,0.9999096685719119,-0.6098027874076994,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.09323783995093887,-1.8372875584615207,0.36337558384253565,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.5532643133567094,-1.3239701866198617,-0.07387209810635278,3,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.13794010218603656,-1.31844327921267,0.20580490475543908,3,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.16688503137231891,-1.1284651722805763,-0.04511659979652798,3,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.1694339052893221,-1.1284364949897723,-0.04506513538198674,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.3407657235481265,0.9997085650027919,-0.609633348483876,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.22341670264592997,-0.4697633847871524,0.056620048236994715,3,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.2147037530960842,-1.157167413839812,0.1748996056233341,3,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.16948293222941266,-1.1283998559792807,-0.04506987198064486,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.3422647373103313,0.9996600244608068,-0.6095927029524426,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.1699958916703134,-1.1283963122240848,-0.04505916132172158,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.34224901945774294,0.9996601609415031,-0.609593070031448,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.17008236943814628,-1.1283932964797145,-0.04505773940364348,3,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.22013344296962592,-0.8980112787623342,0.1038647404594456,3,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.7639499690010915,0.770365273236038,-0.4318510253880993,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3878690619070499,0.9709037004554344,-0.38961657995654586,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.18393454602513482,-1.8391110672540685,0.35757369733725836,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23702055020129825,-1.3217506732965985,0.19808945433023334,3,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.07866554971629837,-1.1303427621911102,-0.05021497134342595,3,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.16982867663474083,-1.1283909386450295,-0.045063688807017624,3,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.16543347132009456,-1.1284552347270596,-0.045150076780478304,3,Einsteinium
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.16976792652083333,-1.1283970961262302,-0.04506404677997503,3,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.36854447845726823,1.567991340620458,-0.07510450413883928,0,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.3059231244366521,0.2308253931218719,-0.45176797290806076,0,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.17013937036532878,-1.1283937243881428,-0.04505641882667367,3,Franko
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.17357045692553716,-1.6258925816337537,0.30062861445187206,3,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.14935877930452565,-1.1287649831141973,-0.045454188301525825,3,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.16893442428434374,-1.128398326349111,-0.04508216893372662,3,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.16921180291310545,-1.128408895755322,-0.04507439595434525,3,GoldCoin
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.3403274108839851,0.999634180710956,-0.609631177398754,0,HoboNickels
HYP,X11,PoS,1678520090.7713,0.0,-0.32714207056815275,1.0298910218359292,-0.17055970439060147,0,HyperStake
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.578872030299745,-1.138974358127743,-0.08181439668045885,3,Infinite Coin
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.3919863056991433,1.2300403632586323,-0.46067719800499807,0,IOCoin
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.1408167063024546,-1.3184260217253136,0.20586538363979373,3,IXcoin
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.16650076508922843,-1.128464192557205,-0.04512520004914019,3,KrugerCoin
